,January,February,March,April,May,June,July,August,September,October,November,December,Total
Cost Per Lead,$375.00,$375.00,$375.00,$237.50,$237.50,$187.50,$375.00,$375.00,$375.00,$375.00,$375.00,$375.00,"$4,037.50"
Cost Per Pre-Construction Agreement,$937.50,"$1,071.43","$1,071.43","$1,187.50","$1,055.56",$500.00,$535.71,$833.33,$750.00,$750.00,$750.00,$750.00,"$10,192.46"
Cost Per Build Contract,$0.01,,,$0.00,$0.00,$0.01,$0.00,,$0.00,,$0.00,$0.00,$0.03
,,,,,,,,,,,,,
EXPENSES,,,,,,,,,,,,,
Social Media,$500.00,$500.00,$500.00,$500.00,$500.00,$500.00,$500.00,$500.00,$500.00,$500.00,$500.00,$500.00,"$6,000.00"
Strategy,"$1,500.00","$1,500.00","$1,500.00","$1,500.00","$1,500.00","$1,500.00","$1,500.00","$1,500.00","$1,500.00","$1,500.00","$1,500.00","$1,500.00","$18,000.00"
SEO,"$1,000.00","$1,000.00","$1,000.00","$1,000.00","$1,000.00","$1,000.00","$1,000.00","$1,000.00","$1,000.00","$1,000.00","$1,000.00","$1,000.00","$12,000.00"
PPC Management,$750.00,$750.00,$750.00,$750.00,$750.00,$750.00,$750.00,$750.00,$750.00,$750.00,$750.00,$750.00,"$9,000.00"
PPC Spend,"$3,000.00","$3,000.00","$3,000.00","$5,000.00","$5,000.00","$3,000.00","$3,000.00","$3,000.00","$3,000.00","$3,000.00","$3,000.00","$3,000.00","$40,000.00"
Writers,$200.00,$200.00,$200.00,$200.00,$200.00,$200.00,$200.00,$200.00,$200.00,$200.00,$200.00,$200.00,"$2,400.00"
Web Development,$450.00,$450.00,$450.00,$450.00,$450.00,$450.00,$450.00,$450.00,$450.00,$450.00,$450.00,$450.00,"$5,400.00"
Graphic Design,$100.00,$100.00,$100.00,$100.00,$100.00,$100.00,$100.00,$100.00,$100.00,$100.00,$100.00,$100.00,"$1,200.00"
Referral Fees,,,,,,,,,,,,,
Traditional Advertising,,,,,,,,,,,,,
Other,,,,,,,,,,,,,$0.00
Total Expenses,"$7,500.00","$7,500.00","$7,500.00","$9,500.00","$9,500.00","$7,500.00","$7,500.00","$7,500.00","$7,500.00","$7,500.00","$7,500.00","$7,500.00","$94,000.00"
% of Revenue (Target = 3-5%),0.63%,0.63%,0.63%,0.79%,0.79%,0.63%,0.63%,0.63%,0.63%,0.63%,0.63%,0.63%,0.65%
,,,,,,,,,,,,,
CHANNEL PERFORMANCE,,,,,,,,,,,,,
,,,,,,,,,,,,,
OFFLINE CONVERSIONS,,,,,,,,,,,,,
    Calls,,,,,,,,,,,,,
    Walk-ins,,,,,,,,,,,,,
    Other,,,,,,,,,,,,,
,,,,,,,,,,,,,
ONLINE CONVERSIONS,,,,,,,,,,,,,
    Contact Form Completions,5,5,5,5,5,5,5,5,5,5,5,5,5
    Email Opt-ins,,,,,,,,,,,,,
    Lead Magnet Opt-Ins,,,,,,,,,,,,,
    Chat - Conversations Started,9,9,9,9,9,9,9,9,9,9,9,9,9
    Chat - Email Addresses Captured,3,3,3,3,3,3,3,3,3,3,3,3,3
    Booked Appointments,5,5,5,5,5,5,5,5,5,5,5,5,5
    Total Conversion Rate (%),9.12%,9.12%,9.12%,9.12%,9.12%,9.12%,9.12%,9.12%,9.12%,9.12%,9.12%,9.12%,9.12%
    Desktop Conversion Rate (%),15.43%,15.43%,15.43%,15.43%,15.43%,15.43%,15.43%,15.43%,15.43%,15.43%,15.43%,15.43%,15.43%
    Mobile Conversion Rate (%),4.39%,4.39%,4.39%,4.39%,4.39%,4.39%,4.39%,4.39%,4.39%,4.39%,4.39%,4.39%,4.39%
,,,,,,,,,,,,,
How Did You Hear About Us?,,,,,,,,,,,,,
    Google,,,,,,,,,,,,,
    From a Friend,,,,,,,,,,,,,
    From a Realtor,,,,,,,,,,,,,
"    From a Trade (Architect, Builder, Etc)",,,,,,,,,,,,,
    From a Community / Neighorhood,,,,,,,,,,,,,
    Magazine,,,,,,,,,,,,,
    Other Search Engine,,,,,,,,,,,,,
    Social Media,,,,,,,,,,,,,
    Other,,,,,,,,,,,,,
,,,,,,,,,,,,,
WEBSITE TRAFFIC,,,,,,,,,,,,,
    Website Traffic (Sessions),"1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000",1000
    Website Traffic (Users),500,500,500,500,500,500,500,500,500,500,500,500,500
    Website Traffic (Pageviews),15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000
    Pages/Visit,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24
    Average Session Duration (Seconds),245,245,245,245,245,245,245,245,245,245,245,245,245
    Bounce Rate,40%,40%,40%,40%,40%,40%,40%,40%,40%,40%,40%,40%,40%
,,,,,,,,,,,,,
REFERRALS,,,,,,,,,,,,,
    Trade Referral Emails Sent,,,,,,,,,,,,,
    Trade Events & Presentations,,,,,,,,,,,,,
    Realtors Registered,,,,,,,,,,,,,
    Other Referral Partners Registered,,,,,,,,,,,,,
    Outreaches (Guesting),,,,,,,,,,,,,
    New Google Reviews,,,,,,,,,,,,,
,,,,,,,,,,,,,
SEO,,,,,,,,,,,,,
    Organic Traffic (users),,,,,,,,,,,,,
    Organic Goal Conversions,,,,,,,,,,,,,
    Organic Conversion Rate,,,,,,,,,,,,,
    Notes on what was done,,,,,,,,,,,,,
,,,,,,,,,,,,,
ADVERTISING,,,,,,,,,,,,,
    Ad Spend (Total),,,,,,,,,,,,,
        Prospecting,,,,,,,,,,,,,
        Retargeting,,,,,,,,,,,,,
    Estimated Lead Value (Total),,,,,,,,,,,,,
        Prospecting,,,,,,,,,,,,,
        Retargeting,,,,,,,,,,,,,
    ROAS (Total),,,,,,,,,,,,,
        Prospecting,,,,,,,,,,,,,
        Retargeting,,,,,,,,,,,,,
    Cost Per Click (CPC) (Total),,,,,,,,,,,,,
        Prospecting,,,,,,,,,,,,,
        Retargeting,,,,,,,,,,,,,
    Cost Per Conversion (Total),,,,,,,,,,,,,
        Prospecting,,,,,,,,,,,,,
        Retargeting,,,,,,,,,,,,,
    Clicks (Total),,,,,,,,,,,,,
        Prospecting,,,,,,,,,,,,,
        Retargeting,,,,,,,,,,,,,
    Click-Through Rate (CTR) (Total),,,,,,,,,,,,,
        Prospecting,,,,,,,,,,,,,
        Retargeting,,,,,,,,,,,,,
    Reach/Impressions (Total),,,,,,,,,,,,,
        Prospecting,,,,,,,,,,,,,
        Retargeting,,,,,,,,,,,,,
,,,,,,,,,,,,,
EMAIL,,,,,,,,,,,,,
    Subscribers,,,,,,,,,,,,,
    Emails Sent,,,,,,,,,,,,,
    Open Rate,,,,,,,,,,,,,
    Click-Through Rate,,,,,,,,,,,,,
    Unsubscribes,,,,,,,,,,,,,
,,,,,,,,,,,,,
SOCIAL,,,,,,,,,,,,,
    Posts Published,,,,,,,,,,,,,
    Followers (Total),,,,,,,,,,,,,
        Facebook,,,,,,,,,,,,,
        Instagram,,,,,,,,,,,,,
        YouTube,,,,,,,,,,,,,
        LinkedIn,,,,,,,,,,,,,
,,,,,,,,,,,,,
BLOG CONTENT & RESOURCES,,,,,,,,,,,,,
    Posts Published,,,,,,,,,,,,,
    Post Pageviews,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
AUDIENCE TRACKER,,,,,,,,,,,,,
    Total,0,0,0,0,0,0,0,0,0,0,0,0,
        Social,0,0,0,0,0,0,0,0,0,0,0,0,
            Facebook,,,,,,,,,,,,,
            Instagram,,,,,,,,,,,,,
            YouTube,,,,,,,,,,,,,
            TikTok,,,,,,,,,,,,,
        Email Subscribers,,,,,,,,,,,,,
        Community,,,,,,,,,,,,,
        Estimated Podcast Audience,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
ACTIVITY TRACKER,,,,,,,,,,,,,
Social Media Posts (Goal = 10),,,,,,,,,,,,,
Emails Sent (Target = 10/mo.),,,,,,,,,,,,,0
Blog Posts Published,,,,,,,,,,,,,0
Podcast Espisodes Published,,,,,,,,,,,,,0
Podcast Guest Outreach,,,,,,,,,,,,,0
LinkedIn Conversations,,,,,,,,,,,,,0
Community Posts (owned),,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Pre Construction Client Info,,,,,,,,,,,,,
    Client Name,,,,,,,,,,,,,
    How Did They Hear About Us,,,,,,,,,,,,,
    Why did they decide to reach out to us?,,,,,,,,,,,,,
    Estimated value,,,,,,,,,,,,,
,,,,,,,,,,,,,
    Client Name,,,,,,,,,,,,,
    How Did They Hear About Us,,,,,,,,,,,,,
    Why did they decide to reach out to us?,,,,,,,,,,,,,
    Estimated value,,,,,,,,,,,,,
,,,,,,,,,,,,,
    Client Name,,,,,,,,,,,,,
    How Did They Hear About Us,,,,,,,,,,,,,
    Why did they decide to reach out to us?,,,,,,,,,,,,,
    Estimated value,,,,,,,,,,,,,
,,,,,,,,,,,,,
    Client Name,,,,,,,,,,,,,
    How Did They Hear About Us,,,,,,,,,,,,,
    Why did they decide to reach out to us?,,,,,,,,,,,,,
    Estimated value,,,,,,,,,,,,,
,,,,,,,,,,,,,
    Client Name,,,,,,,,,,,,,
    How Did They Hear About Us,,,,,,,,,,,,,
    Why did they decide to reach out to us?,,,,,,,,,,,,,
    Estimated value,,,,,,,,,,,,,
